character,unicode,short description,tags,LLM description
🏌🏻‍♀,U+1F3CC 1F3FB 200D 2640,WOMAN GOLFING LIGHT SKIN TONE,['woman' 'golfing' 'light skin tone' 'sports' 'leisure' 'hobbies'],"This emoji represents a woman golfing with a light skin tone, indicating a female golfer with a fair complexion, often used in the context of sports, leisure, or hobbies."
🏌🏾‍♀️,U+1F3CC 1F3FE 200D 2640 FE0F,WOMAN GOLFING MEDIUM-DARK SKIN TONE,['woman' 'golf' 'sports' 'leisure' 'medium-dark skin tone' 'recreation'],"This emoji represents a woman with medium-dark skin tone playing golf, often used to convey leisure activities, sports, or to express interest in golfing."
🏌🏾‍♀,U+1F3CC 1F3FE 200D 2640,WOMAN GOLFING MEDIUM-DARK SKIN TONE,"['woman' 'golf' 'sports' 'leisure' 'medium-dark skin tone' 'relaxation'
 'enjoyment']","This emoji represents a woman with medium-dark skin tone playing golf, often used to express interest in sports, leisure activities, or to convey a sense of relaxation and enjoyment."
🏌🏼‍♀️,U+1F3CC 1F3FC 200D 2640 FE0F,WOMAN GOLFING MEDIUM-LIGHT SKIN TONE,"['woman' 'golfing' 'sport' 'leisure' 'medium-light skin tone' 'relaxation'
 'strategy' 'socializing']","This emoji represents a woman golfing with a medium-light skin tone, showcasing a popular sport and leisure activity, often associated with relaxation, strategy, and socializing."
🏌🏼‍♀,U+1F3CC 1F3FC 200D 2640,WOMAN GOLFING MEDIUM-LIGHT SKIN TONE,"['woman' 'golfing' 'medium-light skin tone' 'sport' 'leisure' 'relaxation'
 'strategy' 'socializing']","This emoji represents a woman golfing with a medium-light skin tone, showcasing a popular sport and leisure activity, often associated with relaxation, strategy, and socializing."
🏌🏽‍♀️,U+1F3CC 1F3FD 200D 2640 FE0F,WOMAN GOLFING MEDIUM SKIN TONE,"['woman' 'golf' 'sports' 'leisure' 'medium skin tone' 'activity'
 'recreation']","This emoji represents a woman with medium skin tone playing golf, often used to convey the activity of golfing or to express interest in sports and leisure activities."
🏌🏽‍♀,U+1F3CC 1F3FD 200D 2640,WOMAN GOLFING MEDIUM SKIN TONE,['woman' 'golfing' 'medium skin tone' 'sports' 'leisure' 'hobbies'],"This emoji represents a woman golfing with a medium skin tone, indicating a female golfer with a complexion that is neither light nor dark, often used in the context of sports, leisure, or hobbies."
💂‍♀️,U+1F482 200D 2640 FE0F,WOMAN GUARD,"['woman guard' 'protection' 'security' 'authority' 'female representation'
 'police' 'law enforcement']","This emoji represents a woman guard, often used to convey themes of protection, security, and authority, and can symbolize the importance of female representation in roles traditionally dominated by men."
💂‍♀,U+1F482 200D 2640,WOMAN GUARD,"['woman guard' 'protection' 'security' 'authority' 'law enforcement'
 'military' 'woman']","This emoji represents a woman guard, often used to convey protection, security, or authority, and can symbolize the role of women in law enforcement or military service."
💂🏿‍♀️,U+1F482 1F3FF 200D 2640 FE0F,WOMAN GUARD DARK SKIN TONE,['woman guard' 'dark skin tone' 'protection' 'security' 'authority'],"This emoji represents a woman guard with dark skin tone, often used to convey themes of protection, security, and authority."
💂🏿‍♀,U+1F482 1F3FF 200D 2640,WOMAN GUARD DARK SKIN TONE,['woman guard' 'dark skin tone' 'protection' 'security' 'authority'],"This emoji represents a woman guard with dark skin tone, often used to convey themes of protection, security, and authority."
💂🏻‍♀️,U+1F482 1F3FB 200D 2640 FE0F,WOMAN GUARD LIGHT SKIN TONE,"['woman guard' 'light skin tone' 'security' 'protection' 'authority'
 'law enforcement' 'female']","This emoji represents a woman guard with light skin tone, often used to convey security, protection, or authority in various contexts."
💂🏻‍♀,U+1F482 1F3FB 200D 2640,WOMAN GUARD LIGHT SKIN TONE,"['woman guard' 'light skin tone' 'security' 'protection' 'authority'
 'law enforcement' 'female']","This emoji represents a woman guard with light skin tone, often used to convey security, protection, or authority in various contexts."
💂🏾‍♀️,U+1F482 1F3FE 200D 2640 FE0F,WOMAN GUARD MEDIUM-DARK SKIN TONE,['woman guard' 'medium-dark skin tone' 'protection' 'security' 'authority'],"This emoji represents a woman guard with a medium-dark skin tone, often used to convey themes of protection, security, or authority."
💂🏾‍♀,U+1F482 1F3FE 200D 2640,WOMAN GUARD MEDIUM-DARK SKIN TONE,"['woman guard' 'medium-dark skin tone' 'security' 'protection' 'authority'
 'law enforcement' 'female']","This emoji represents a woman guard with a medium-dark skin tone, often used to convey security, protection, or authority in various contexts."
💂🏼‍♀️,U+1F482 1F3FC 200D 2640 FE0F,WOMAN GUARD MEDIUM-LIGHT SKIN TONE,"['woman guard' 'medium-light skin tone' 'protection' 'security'
 'authority' 'law enforcement' 'military']","This emoji represents a woman guard with a medium-light skin tone, symbolizing protection, security, and authority, often used in the context of law enforcement or military service."
💂🏼‍♀,U+1F482 1F3FC 200D 2640,WOMAN GUARD MEDIUM-LIGHT SKIN TONE,"['woman guard' 'medium-light skin tone' 'protection' 'security'
 'authority' 'law enforcement' 'military']","This emoji represents a woman guard with a medium-light skin tone, symbolizing protection, security, and authority, often used in the context of law enforcement or military service."
💂🏽‍♀️,U+1F482 1F3FD 200D 2640 FE0F,WOMAN GUARD MEDIUM SKIN TONE,"['woman guard' 'medium skin tone' 'protection' 'security' 'authority'
 'law enforcement' 'military']","This emoji represents a medium skin tone woman guard, symbolizing protection, security, and authority, often used in the context of law enforcement or military service."
💂🏽‍♀,U+1F482 1F3FD 200D 2640,WOMAN GUARD MEDIUM SKIN TONE,"['woman guard' 'medium skin tone' 'protection' 'security' 'authority'
 'law enforcement' 'military']","This emoji represents a medium skin tone woman guard, symbolizing protection, security, and authority, often used in the context of law enforcement or military service."
👩‍⚕️,U+1F469 200D 2695 FE0F,WOMAN HEALTH WORKER,"['woman' 'health worker' 'medical professional' 'healthcare' 'female'
 'doctor' 'nurse']","This emoji represents a woman health worker, often used to symbolize medical professionals, healthcare, and the importance of women in the field."
👩‍⚕,U+1F469 200D 2695,WOMAN HEALTH WORKER,"['woman' 'health worker' 'medical professional' 'healthcare' 'female'
 'doctor' 'nurse']","This emoji represents a woman health worker, often used to symbolize medical professionals, healthcare, and the importance of women in the field."
👩🏿‍⚕️,U+1F469 1F3FF 200D 2695 FE0F,WOMAN HEALTH WORKER DARK SKIN TONE,"['woman' 'health worker' 'dark skin tone' 'medical' 'healthcare'
 'frontline worker']","This emoji represents a woman health worker with dark skin tone, often used to convey medical professionals, healthcare, or support for frontline workers."
👩🏿‍⚕,U+1F469 1F3FF 200D 2695,WOMAN HEALTH WORKER DARK SKIN TONE,"['woman' 'health worker' 'dark skin tone' 'medical' 'healthcare'
 'frontline worker']","This emoji represents a woman health worker with dark skin tone, often used to convey medical professionals, healthcare, or support for frontline workers."
👩🏻‍⚕️,U+1F469 1F3FB 200D 2695 FE0F,WOMAN HEALTH WORKER LIGHT SKIN TONE,"['woman' 'health worker' 'medical professional' 'nursing' 'healthcare'
 'light skin tone']","This emoji represents a woman health worker with light skin tone, often used to convey medical professionals, healthcare, or nursing roles."
👩🏻‍⚕,U+1F469 1F3FB 200D 2695,WOMAN HEALTH WORKER LIGHT SKIN TONE,"['woman' 'health worker' 'medical professional' 'nursing' 'healthcare'
 'light skin tone']","This emoji represents a woman health worker with light skin tone, often used to convey medical professionals, healthcare, or nursing roles."
👩🏾‍⚕️,U+1F469 1F3FE 200D 2695 FE0F,WOMAN HEALTH WORKER MEDIUM-DARK SKIN TONE,"['woman' 'health worker' 'medium-dark skin tone' 'medical professional'
 'healthcare' 'support']","This emoji represents a woman health worker with a medium-dark skin tone, often used to convey medical professionals, healthcare, or support in a health-related context."
👩🏾‍⚕,U+1F469 1F3FE 200D 2695,WOMAN HEALTH WORKER MEDIUM-DARK SKIN TONE,"['woman' 'health worker' 'medium-dark skin tone' 'medical professional'
 'healthcare' 'support']","This emoji represents a woman health worker with a medium-dark skin tone, often used to convey medical professionals, healthcare, or support in a health-related context."
👩🏼‍⚕️,U+1F469 1F3FC 200D 2695 FE0F,WOMAN HEALTH WORKER MEDIUM-LIGHT SKIN TONE,"['woman' 'health worker' 'medical professional' 'nursing' 'healthcare'
 'medium-light skin tone']","This emoji represents a woman health worker with a medium-light skin tone, often used to convey medical professionals, healthcare, or nursing roles."
👩🏼‍⚕,U+1F469 1F3FC 200D 2695,WOMAN HEALTH WORKER MEDIUM-LIGHT SKIN TONE,"['woman' 'health worker' 'medical professional' 'healthcare' 'well-being'
 'support' 'medium-light skin tone']","This emoji represents a woman health worker with a medium-light skin tone, often used to convey medical professionals, healthcare, or support for the well-being of others."
👩🏽‍⚕️,U+1F469 1F3FD 200D 2695 FE0F,WOMAN HEALTH WORKER MEDIUM SKIN TONE,"['woman' 'health worker' 'medical professional' 'healthcare' 'well-being'
 'support' 'medium skin tone']","This emoji represents a woman health worker with medium skin tone, often used to convey medical professionals, healthcare, or support for the well-being of others."
👩🏽‍⚕,U+1F469 1F3FD 200D 2695,WOMAN HEALTH WORKER MEDIUM SKIN TONE,"['woman' 'health worker' 'medical professional' 'healthcare' 'well-being'
 'support' 'medium skin tone']","This emoji represents a woman health worker with medium skin tone, often used to convey medical professionals, healthcare, or support for the well-being of others."
🧘‍♀️,U+1F9D8 200D 2640 FE0F,WOMAN IN LOTUS POSITION,"['woman' 'lotus position' 'meditation' 'peace' 'balance' 'spirituality'
 'relaxation' 'mindfulness']","This emoji represents a woman in the lotus position, a meditation posture symbolizing peace, balance, and spiritual enlightenment, often used to express relaxation or mindfulness."
🧘‍♀,U+1F9D8 200D 2640,WOMAN IN LOTUS POSITION,"['woman' 'lotus position' 'meditation' 'peace' 'balance' 'spirituality'
 'relaxation' 'mindfulness']","This emoji represents a woman in the lotus position, a meditation posture symbolizing peace, balance, and spiritual enlightenment, often used to express relaxation or mindfulness."
🧘🏿‍♀️,U+1F9D8 1F3FF 200D 2640 FE0F,WOMAN IN LOTUS POSITION DARK SKIN TONE,"['woman' 'lotus position' 'dark skin tone' 'meditation' 'relaxation'
 'mindfulness' 'spirituality' 'calmness']","This emoji represents a woman in the lotus position, with dark skin tone, symbolizing meditation, relaxation, and mindfulness, often used to express a state of calmness or spiritual practice."
🧘🏿‍♀,U+1F9D8 1F3FF 200D 2640,WOMAN IN LOTUS POSITION DARK SKIN TONE,"['woman' 'lotus position' 'dark skin tone' 'meditation' 'relaxation'
 'mindfulness' 'spirituality' 'calmness']","This emoji represents a woman in the lotus position, with dark skin tone, symbolizing meditation, relaxation, and mindfulness, often used to express a state of calmness or spiritual practice."
🧘🏻‍♀️,U+1F9D8 1F3FB 200D 2640 FE0F,WOMAN IN LOTUS POSITION LIGHT SKIN TONE,"['woman' 'lotus position' 'meditation' 'peace' 'balance' 'spirituality'
 'light skin tone']","This emoji represents a woman in the lotus position, a meditation posture symbolizing peace, balance, and spiritual enlightenment, with a light skin tone variant."
🧘🏻‍♀,U+1F9D8 1F3FB 200D 2640,WOMAN IN LOTUS POSITION LIGHT SKIN TONE,"['woman' 'lotus position' 'meditation' 'peace' 'balance' 'spirituality'
 'light skin tone']","This emoji represents a woman in the lotus position, a meditation posture symbolizing peace, balance, and spiritual enlightenment, with a light skin tone variant."
🧘🏾‍♀️,U+1F9D8 1F3FE 200D 2640 FE0F,WOMAN IN LOTUS POSITION MEDIUM-DARK SKIN TONE,"['woman' 'lotus position' 'meditation' 'peace' 'balance' 'spirituality'
 'medium-dark skin tone']","This emoji represents a woman in the lotus position, a meditation posture symbolizing peace, balance, and spiritual enlightenment, with a medium-dark skin tone variation."
🧘🏾‍♀,U+1F9D8 1F3FE 200D 2640,WOMAN IN LOTUS POSITION MEDIUM-DARK SKIN TONE,"['woman' 'lotus position' 'meditation' 'peace' 'balance' 'spirituality'
 'medium-dark skin tone']","This emoji represents a woman in the lotus position, a meditation posture symbolizing peace, balance, and spiritual enlightenment, with a medium-dark skin tone variation."
🧘🏼‍♀️,U+1F9D8 1F3FC 200D 2640 FE0F,WOMAN IN LOTUS POSITION MEDIUM-LIGHT SKIN TONE,"['woman' 'lotus position' 'meditation' 'peace' 'balance' 'spirituality'
 'medium-light skin tone']","This emoji represents a woman in the lotus position, a meditation posture symbolizing peace, balance, and spiritual enlightenment, with a medium-light skin tone variation."
🧘🏼‍♀,U+1F9D8 1F3FC 200D 2640,WOMAN IN LOTUS POSITION MEDIUM-LIGHT SKIN TONE,"['woman' 'lotus position' 'meditation' 'peace' 'balance' 'spirituality'
 'medium-light skin tone']","This emoji represents a woman in the lotus position, a meditation posture symbolizing peace, balance, and spiritual enlightenment, with a medium-light skin tone variation."
🧘🏽‍♀️,U+1F9D8 1F3FD 200D 2640 FE0F,WOMAN IN LOTUS POSITION MEDIUM SKIN TONE,"['woman' 'lotus position' 'meditation' 'peace' 'balance' 'spirituality'
 'medium skin tone']","This emoji represents a woman in the lotus position, a meditation posture symbolizing peace, balance, and spiritual enlightenment, with a medium skin tone."
🧘🏽‍♀,U+1F9D8 1F3FD 200D 2640,WOMAN IN LOTUS POSITION MEDIUM SKIN TONE,"['woman' 'lotus position' 'meditation' 'peace' 'balance' 'spirituality'
 'medium skin tone']","This emoji represents a woman in the lotus position, a meditation posture symbolizing peace, balance, and spiritual enlightenment, with a medium skin tone."
👩‍🦽,U+1F469 200D 1F9BD,WOMAN IN MANUAL WHEELCHAIR,['woman' 'wheelchair' 'disability' 'accessibility' 'mobility' 'support'],"This emoji represents a woman using a manual wheelchair, often used to convey support, accessibility, or to express the experience of people with mobility challenges."
👩🏿‍🦽,U+1F469 1F3FF 200D 1F9BD,WOMAN IN MANUAL WHEELCHAIR DARK SKIN TONE,"['woman' 'wheelchair' 'disability' 'support' 'representation'
 'dark skin tone']","This emoji represents a woman with dark skin tone using a manual wheelchair, often used to express support, empathy, or representation for individuals with disabilities or those who use wheelchairs."
👩‍🦽‍➡️,U+1F469 200D 1F9BD 200D 27A1 FE0F,WOMAN IN MANUAL WHEELCHAIR FACING RIGHT,"['woman' 'wheelchair' 'mobility' 'accessibility' 'inclusion' 'disability'
 'facing right']","This emoji shows a woman in a manual wheelchair facing right, representing individuals with mobility challenges and highlighting the need for accessibility and inclusion."
👩‍🦽‍➡,U+1F469 200D 1F9BD 200D 27A1,WOMAN IN MANUAL WHEELCHAIR FACING RIGHT,"['woman' 'wheelchair' 'disability' 'accessibility' 'support'
 'representation' 'manual' 'facing right']","This emoji represents a woman standing in a manual wheelchair facing right, often used to convey support, accessibility, or representation of people with disabilities."
